Postcode,Title Number,Tenure,Property Address,District,County,Region,Multiple Address Indicator,Price Paid,Proprietor Name (1),Company Registration No. (1),Proprietorship Category (1),Proprietor (1) Address (1),Proprietor (1) Address (2),Proprietor (1) Address (3),Proprietor Name (2),Company Registration No. (2),Proprietorship Category (2),Proprietor (2) Address (1),Proprietor (2) Address (2),Proprietor (2) Address (3),Proprietor Name (3),Company Registration No. (3),Proprietorship Category (3),Proprietor (3) Address (1),Proprietor (3) Address (2),Proprietor (3) Address (3),Proprietor Name (4),Company Registration No. (4),Proprietorship Category (4),Proprietor (4) Address (1),Proprietor (4) Address (2),Proprietor (4) Address (3),Date Proprietor Added,Additional Proprietor Indicator,Matching Address,LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,Postcode_y,BUILDING_REFERENCE_NUMBER,ASSET_RATING,ASSET_RATING_BAND,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,NEW_BUILD_BENCHMARK,EXISTING_STOCK_BENCHMARK,BUILDING_LEVEL,MAIN_HEATING_FUEL,OTHER_FUEL_DESC,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,FLOOR_AREA,STANDARD_EMISSIONS,TARGET_EMISSIONS,TYPICAL_EMISSIONS,BUILDING_EMISSIONS,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,POSTTOWN,LODGEMENT_DATETIME,PRIMARY_ENERGY_VALUE,UPRN,UPRN_SOURCE
BR1 4PP,TGL133727,Freehold,"460 Bromley Road, (BR1 4PP)",LEWISHAM,GREATER LONDON,GREATER LONDON,N,,GREENTREE ESTATES LIMITED,,Limited Company or Public Limited Company,"Lawrence House, Goodwyn Avenue, Mill Hill, London NW7 3RH",,,,,,,,,,,,,,,,,,,,,05-03-2001,N,460 Bromley Road,3f42d4d20d48d2faf93a73388a3bd8c32d8634a61b54c82c528b40970ec9316c,460 Bromley Road,,,BR1 4PP,10002944447,43,B,A1/A2 Retail and Financial/Professional services,2022-03-31,E09000023,E14000787,,2022-05-19,Mandatory issue (Non-marketed sale),22,65,3,Grid Supplied Electricity,,,,76,66.63,29.57,86.66,57.69,No,,,4,Heating and Natural Ventilation,Lewisham,Lewisham East,LONDON,2022-05-25 09:12:25,341,100022889750,Energy Assessor
BR1 5HR,SGL488695,Freehold,"408 Downham Way, (BR1 5HR)",LEWISHAM,GREATER LONDON,GREATER LONDON,N,,SUFFOLK LIFE ANNUITIES LIMITED,1011674,Limited Company or Public Limited Company,"153 Princes Street, Ipswich, Suffolk IP1 1QJ",,,,,,,,,,,,,,,,,,,,,13-08-2002,N,408 Downham Way,faf174f8af305ecd39df21e9287d913ba2e52a980f9f88c5f325441929aac3d6,408 Downham Way,,,BR1 5HR,10003704264,41,B,Retail/Financial and Professional Services,2022-11-16,E09000023,E14000787,,2022-11-22,Mandatory issue (Marketed sale),14,57,3,Grid Supplied Electricity,,,,80,16.3,4.64,18.6,13.46,No,,,4,Air Conditioning,Lewisham,Lewisham East,BROMLEY,2022-11-22 22:20:25,148,100022890087,Energy Assessor
E1 0AD,EGL559872,Leasehold,"16 Tarling Street, London (E1 0AD)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,,ASSET DOMAIN LIMITED,6242482,Limited Company or Public Limited Company,"12 Upney Lane, Barking, Essex IG11 9LW",,,,,,,,,,,,,,,,,,,,,04-09-2009,N,16 Tarling Street,37429120032010062914384586000592,,16 Tarling Street,,E1 0AD,223655530000,24,A,Retail,2010-06-28,E09000030,E14000882,Greater London Authority,2010-06-29,Mandatory issue (Property to let).,37,46,3,Grid Supplied Electricity,,,,65,103.64,77.32,96.22,50.38,No,,,4,Heating and Natural Ventilation,Tower Hamlets,Poplar and Limehouse,LONDON,2010-06-29 14:38:45,,6363691,Address Matched
E1 0AY,EGL553416,Freehold,"60 Sutton Street, London (E1 0AY)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,,NABIGANJ INVESTMENT COMPANY LIMITED,2251033,Limited Company or Public Limited Company,"329-331 Alexandra Park Road, London N22 7BP",,,,,,,,,,,,,,,,,,,,,01-04-2009,N,60 Sutton Street,27402150102009120715392747409020,,60 Sutton Street,,E1 0AY,415405440000,62,C,Office,2009-12-03,E09000030,E14000882,Greater London Authority,2009-12-07,,36,74,3,Natural Gas,,,,232,,,,,No,,,4,Heating and Natural Ventilation,Tower Hamlets,Poplar and Limehouse,LONDON,2009-12-07 15:39:27,,,
E1 0HJ,EGL561485,Leasehold,"595-597 Commercial Road, London (E1 0HJ)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,600000.0,LIMEHOUSE PROPERTY LIMITED,10661790,Limited Company or Public Limited Company,"Quadrant House, Floor 6, 4 Thomas More Square, London E1W 1YW",,,,,,,,,,,,,,,,,,,,,19-02-2018,N,595-597 Commercial Road,04ed9f6b05c6182e014dd48bb4a3c37db564d4bcb7a572b23becf4a78187cd80,595-597 Commercial Road,,,E1 0HJ,10004519072,71,C,Offices and Workshop Businesses,2023-04-27,E09000030,E14000555,,2023-05-12,Mandatory issue (Property to let).,26,103,3,Natural Gas,,,,213,14.87,7.67,30.76,21.01,Yes,,1.0,4,Heating and Natural Ventilation,Tower Hamlets,Bethnal Green and Bow,LONDON,2023-05-12 12:25:00,175,6029922,Energy Assessor
E1 0HS,NGL37056,Freehold,"1-9 Ratcliffe Cross Street, London (E1 0HS)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,303511.0,NOTTING HILL HOME OWNERSHIP LIMITED,IP23066R,Housing Association Registered Society (Company),"Bruce Kenrick House, 2 Killick Street, London N1 9FL",,,,,,,,,,,,,,,,,,,,,19-04-2016,N,1-9 Ratcliffe Cross Street,76948455252013030408404706009415,,1-9 Ratcliffe Cross Street,,E1 0HS,456456210000,95,D,B2 to B7 General Industrial and Special Industrial Groups,2013-02-25,E09000030,E14000882,Greater London Authority,2013-03-04,Mandatory issue (Property to let).,27,73,3,Grid Supplied Electricity,,,,2226,28.15,15.39,41.03,53.39,No,,,4,Heating and Natural Ventilation,Tower Hamlets,Poplar and Limehouse,LONDON,2013-03-04 08:40:47,,,
E1 0HY,432861,Freehold,"536 Commercial Road, London (E1 0HY)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,250000.0,EMD HOLDING GROUP LIMITED,12604809,Limited Company or Public Limited Company,"536 Commercial Road, London E1 0HY",,,,,,,,,,,,,,,,,,,,,21-02-2022,N,536 Commercial Road,05333f1416a2fd80569a470912176b458eaea4d356c8829be64965ff57a1f5c3,536 Commercial Road,,,E1 0HY,10003551279,37,B,Restaurants and Cafes/Drinking Establishments/Takeaways,2022-10-12,E09000030,E14000882,,2022-10-17,Mandatory issue (Property to let).,14,57,3,Grid Supplied Electricity,,,,74,83.11,23.58,94.32,61.03,Yes,,2.0,5,Heating and Natural Ventilation,Tower Hamlets,Poplar and Limehouse,LONDON,2022-10-17 07:17:53,643,6652368,Energy Assessor
E1 0LB,49462,Freehold,"380 Commercial Road, London (E1 0LB)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,179000.0,IMPAKT PROPERTIES LTD,3227213,Limited Company or Public Limited Company,"40 Saxon Drive, London W3 0NH",,,,,,,,,,,,,,,,,,,,,06-07-2005,N,380 Commercial Road,74879010602013011012245528100090,380 Commercial Road,380 Commercial Road,,E1 0LB,561131120000,63,C,A1/A2 Retail and Financial/Professional services,2013-01-08,E09000030,E14000882,Greater London Authority,2013-01-10,Mandatory issue (Property to let).,25,67,3,Grid Supplied Electricity,,,,93,54.27,27.4,73.06,67.84,No,,1.0,4,Heating and Natural Ventilation,Tower Hamlets,Poplar and Limehouse,LONDON,2013-01-10 12:24:55,298,6029931,Energy Assessor
E1 0LS,EGL258341,Freehold,"368-374 Commercial Road, London (E1 0LS)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,,LARCHDALE INVESTMENTS LIMITED,7416388,Limited Company or Public Limited Company,"15 Sudbury Court Road, Harrow HA1 3SD","14 Purley Centre, Luton LU3 3SR",,,,,,,,,,,,,,,,,,,,08-03-2011,N,368-374 Commercial Road,38003070062010071512492856030510,,368-374 Commercial Road,,E1 0LS,159270650000,67,C,Office,2010-07-05,E09000030,E14000882,Greater London Authority,2010-07-15,Mandatory issue (Marketed sale).,41,87,3,Natural Gas,,,,1304,42.25,34.58,73.66,56.84,No,,,4,Heating and Natural Ventilation,Tower Hamlets,Poplar and Limehouse,LONDON,2010-07-15 12:49:28,,6027605,Address Matched
E1 0ND,AGL579511,Leasehold,"48 White Horse Road, London (E1 0ND)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,,IMPERIAL ACCOUNTING LIMITED,10798258,Limited Company or Public Limited Company,"24 Osborn Street, London E1 6TD",,,,,,,,,,,,,,,,,,,,,31-10-2022,N,48 White Horse Road,206f3fa39228bcc3f1c71bef31282665ccfbaaa46523dcdc24d371ff5365e7a0,48 White Horse Road,,,E1 0ND,10002945057,40,B,B1 Offices and Workshop businesses,2022-04-14,E09000030,E14000555,,2022-04-19,Mandatory issue (Non-marketed sale),20,59,3,Natural Gas,,,,80,34.91,14.01,41.05,28.06,No,,,4,Heating and Natural Ventilation,Tower Hamlets,Bethnal Green and Bow,LONDON,2022-04-21 17:11:05,163,6726274,Energy Assessor
